customer_id,first_name,last_name,email,age,gender,preferred_model,preferred_model_variant,preferred_cartype,preferred_fuel_variant,purchase_type
CUST001,Sneha,Nair,mayuresh.pawashe@infoobjects.com,30,Male,Tata Harrier,Second-Top,SUV,Diesel,Existing
CUST002,Manav,Das,chinnu.kurian@infoobjects.com,61,Female,Tata Curvv,Top,Coupe,Electric,Existing
CUST003,Nikita,Verma,sirisha.allarapu@infoobjects.com,68,Female,Tata Harrier,Base,SUV,Petrol,New
CUST004,Priya,Bose,mohith.gowda@infoobjects.com,68,Male,Volkswagen Virtus,Second-Top,Sedan,Petrol,Existing
CUST005,John,Bose,ashutosh.tiwari@infoobjects.com,47,Male,Tata Curvv,Mid,Coupe,Electric,New
CUST006,John,Das,sagar.sambhwani@infoobjects.com,56,Male,Honda City,Top,Sedan,Diesel,New
CUST007,Amit,Mehta,priyansh.mathur@infoobjects.com,49,Male,Tata Punch,Top,SUV,CNG,Existing
CUST008,Rahul,Patel,nikhil.kumawat@infoobjects.com,60,Male,MG Hector,Base,SUV,Diesel,Existing
CUST009,John,Mehta,user009@example.com,46,Male,Mahindra Scorpio,Top,SUV,Petrol,Existing
CUST010,Rohan,Mehta,user010@example.com,64,Female,Mahindra XUV700,Mid,SUV,Diesel,Existing
CUST011,Manav,Bose,user011@example.com,54,Female,Tata Punch,Top,SUV,CNG,New
CUST012,Anjali,Bose,user012@example.com,32,Female,Kia Seltos,Mid,SUV,Diesel,Existing
CUST013,Manav,Kumar,user013@example.com,68,Female,Tata Punch,Base,SUV,Petrol,Existing
CUST014,Sneha,Joshi,user014@example.com,34,Male,Tata Nexon,Base,SUV,Diesel,Existing
CUST015,Nikita,Das,user015@example.com,59,Female,Volkswagen Virtus,Base,Sedan,Diesel,Existing
CUST016,Anjali,Nair,user016@example.com,37,Male,Hyundai Creta,Second-Top,SUV,Petrol,Existing
CUST017,Sara,Mehta,user017@example.com,28,Female,Toyota Fortuner,Second-Top,SUV,Diesel,New
CUST018,Rahul,Kumar,user018@example.com,29,Male,Honda City,Mid,Sedan,Petrol,Existing
CUST019,Sneha,Patel,user019@example.com,44,Male,Kia Seltos,Second-Top,SUV,Petrol,New
CUST020,Anjali,Nair,user020@example.com,42,Male,Toyota Fortuner,Second-Top,SUV,Diesel,Existing
CUST021,John,Singh,user021@example.com,64,Male,Hyundai Creta,Base,SUV,Petrol,Existing
CUST022,Anjali,Bose,user022@example.com,61,Female,Mahindra XUV700,Mid,SUV,Diesel,Existing
